id,tissue
ipiPD1_14_PRE,melanoma
ipiPD1_15_PRE,melanoma
ipiPD1_17_PRE,melanoma
ipiPD1_19_EDT,melanoma
ipiPD1_19_PRE,melanoma
ipiPD1_2_PRE,melanoma
ipiPD1_20_PRE,melanoma
ipiPD1_21_PRE,melanoma
ipiPD1_23_PRE,melanoma
ipiPD1_24_PRE,melanoma
ipiPD1_25_PRE,melanoma
ipiPD1_26_PRE,melanoma
ipiPD1_27_EDT,melanoma
ipiPD1_27_PRE,melanoma
ipiPD1_32_PRE,melanoma
ipiPD1_33_EDT,melanoma
ipiPD1_33_PRE,melanoma
ipiPD1_34_PRE,melanoma
ipiPD1_35_EDT,melanoma
ipiPD1_35_PRE,melanoma
ipiPD1_36_EDT,melanoma
ipiPD1_36_PRE,melanoma
ipiPD1_37_PRE,melanoma
ipiPD1_38_PRE,melanoma
ipiPD1_44_PRE,melanoma
ipiPD1_45_PRE,melanoma
ipiPD1_46_PRE,melanoma
ipiPD1_47_PRE,melanoma
ipiPD1_49_PRE,melanoma
ipiPD1_50_PRE,melanoma
ipiPD1_6_PRE,melanoma
ipiPD1_8_PRE,melanoma
ipiPD1_9_EDT,melanoma
PD1_10_EDT,melanoma
PD1_10_PRE,melanoma
PD1_11_PRE,melanoma
PD1_12_PRE,melanoma
PD1_13_EDT,melanoma
PD1_13_PRE,melanoma
PD1_14_PRE,melanoma
PD1_15_PRE,melanoma
PD1_16_PRE,melanoma
PD1_17_EDT,melanoma
PD1_17_PRE,melanoma
PD1_18_PRE,melanoma
PD1_19_PRE,melanoma
PD1_2_PRE,melanoma
PD1_21_PRE,melanoma
PD1_23_PRE,melanoma
PD1_25_EDT,melanoma
PD1_25_PRE,melanoma
PD1_27_PRE,melanoma
PD1_29_EDT,melanoma
PD1_29_PRE,melanoma
PD1_3_PRE,melanoma
PD1_34_PRE,melanoma
PD1_35_PRE,melanoma
PD1_36_PRE,melanoma
PD1_38_PRE,melanoma
PD1_40_PRE,melanoma
PD1_41_EDT,melanoma
PD1_41_PRE,melanoma
PD1_42_PRE,melanoma
PD1_44_PRE,melanoma
PD1_45_PRE,melanoma
PD1_46_PRE,melanoma
PD1_47_EDT,melanoma
PD1_47_PRE,melanoma
PD1_48_EDT,melanoma
PD1_48_PRE,melanoma
PD1_49_PRE,melanoma
PD1_5_PRE,melanoma
PD1_50_PRE,melanoma
PD1_52_PRE,melanoma
PD1_53_PRE,melanoma
PD1_54_PRE,melanoma
