,brain ,brain opioid,brain alzheimer,brain fetal,brain frontal cortex,brain parietal cortex,brain occipital cortex,brain striatum,brain stem,brain cerebellum,esophagus,stomach,small intestine,duodenum,jejunum colon,ileum colon,colon,proximal colon,distal colon,liver,pancreas,kidney,bladder,breast,ovary,fallopian tube,uterus,cervix,placenta,prostate,testicle,heart,pericardium,right atrium heart,left atruim,right ventricle heart,left ventricle heart,vena cava,trachea,lung,thymus,spleen,lymph node,thyroid,adrenal,adipose,skeletal muscle,"melanoma (not included in min, max, median, mean)"
L2,50.611,14.198,17.763,33.474,36.487,21.495,48.336,21.409,4.42,2.096,42.819,8.219,27.723,30.32,51.458,27.048,10.016,24.575,18.33,25.733,5.302,26.408,27.524,22.54,64.895,45.911,22.645,23.583,22.829,45.71,9.133,37.218,20.925,48.933,44.154,33.588,27.546,27.233,15.558,54.072,13.794,27.557,2.694,47.016,18.145,28.017,5.028,20.515
L3,105.283,18.894,24.344,97.905,63.833,36.432,97.771,53.851,37.518,45.468,4.416,1.987,15.136,21.473,43.782,25.742,11.013,22.976,14.284,1.28,0.684,4.487,10.912,4.111,11.638,8.444,24.987,48.377,11.073,11.438,11.794,11.184,6.167,4.897,7.305,5.882,10.728,30.738,4.029,2.932,2.867,0.57,1.121,2.554,12.964,16.946,1.05,6.712
L4,3.746,4.648,13.129,1.731,3.036,2.177,4.338,2.299,3.07,1.291,26.753,3.266,24.737,20.185,67.658,24.522,8.269,44.923,41.994,5.366,4.659,18.969,47.602,119.551,10.26,18.391,40.159,27.323,10.656,24.078,11.98,22.822,95.141,38.702,43.597,42.133,77.612,41.425,31.693,19.05,16.432,59.852,5.158,44.771,8.438,171.307,14.904,14.848
V1,45.778,4.871,19.078,31.741,19.959,10.929,35.979,22.226,5.226,3.901,0.219,0.337,0.738,0.345,0.338,0.527,0.704,2.287,1.079,3.922,2.025,6.505,1.394,3.568,0.303,1.568,0.444,0.351,0.547,6.258,4.414,0.043,0.043,0.04,0.083,0,0.014,0.952,5.934,19.668,1.922,0.106,0.005,21.668,35.471,0.015,0.039,6.311
Min,0.001,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.127,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max,105.283,336.85,116.586,97.905,89.151,63.69,97.771,91.276,56.242,55.227,48.024,10.298,27.754,34.672,67.658,27.048,53.668,44.923,41.994,46.827,14.418,170.584,47.602,119.551,64.895,45.911,40.159,74.078,161.772,45.71,42.699,46.714,95.141,55.571,51.495,50.787,111.629,85.148,37.432,194.537,27.023,90.394,24.673,48.96,35.471,171.307,21.736,209.779
Median,2.741,4.355,6.96,2.946,3.036,1.02,3.259,1.473,2.055,0.863,2.016,0.733,1.379,2.122,1.428,2.267,2.154,2.236,1.289,1.28,0.559,5.92,3.617,3.275,1.134,2.012,1.064,3.8,0.855,3.542,4.31,1.311,1.06,1.048,1.807,1.416,0.955,2.093,4.234,3.44,2.753,2.962,0.708,2.554,1.39,0.549,0.327,3.646
Mean,19.80718182,34.28742424,18.55209091,14.09463636,16.33887879,11.48812121,16.71063636,15.29293939,7.540424242,6.191,7.502969697,2.205757576,6.886727273,6.854454545,10.69115152,6.868393939,7.337757576,7.874030303,6.288212121,5.51630303,1.977969697,17.70924242,8.687242424,9.913393939,5.983787879,9.577666667,7.087060606,11.15863636,10.63245455,8.571393939,7.714515152,6.286939394,9.774636364,8.706454545,8.522212121,7.716030303,9.776727273,10.35066667,8.121787879,15.15366667,5.468969697,11.21866667,2.020818182,8.671393939,5.10230303,11.87942424,2.741636364,15.52648485
"TPM >0,1",24,23,27,23,25,22,24,25,29,23,28,25,30,29,27,28,29,30,28,27,21,30,30,27,25,31,24,25,27,29,33,27,27,23,21,22,26,30,30,31,28,27,24,23,25,25,21,29
"TPM >0,5",22,19,24,21,20,19,21,22,22,18,19,18,26,25,25,25,27,24,23,21,18,26,29,19,19,27,19,24,22,24,28,19,22,19,19,19,18,24,30,25,26,24,17,20,22,17,14,26
